startDate,endDate,value,sourceName,device
2019-10-24 21:43:16 -0500,2019-10-24 21:45:44 -0500,HKCategoryValueSleepAnalysisInBed,Clock,"<<HKDevice: 0x7463ba700>, name:iPhone, manufacturer:Apple Inc., model:iPhone, hardware:iPhone9,4, software:12.4, creation date:2019-08-02 17:28:18 +0000>"
2019-10-24 21:48:16 -0500,2019-10-24 21:50:12 -0500,HKCategoryValueSleepAnalysisInBed,Clock,"<<HKDevice: 0x7463ba700>, name:iPhone, manufacturer:Apple Inc., model:iPhone, hardware:iPhone9,4, software:12.4, creation date:2019-08-02 17:28:18 +0000>"
2019-10-24 21:48:16 -0500,2019-10-24 21:50:12 -0500,HKCategoryValueSleepAnalysisInBed,Clock,"<<HKDevice: 0x7463ba700>, name:iPhone, manufacturer:Apple Inc., model:iPhone, hardware:iPhone9,4, software:12.4, creation date:2019-08-02 17:28:18 +0000>"
2019-10-24 21:54:44 -0500,2019-10-24 21:56:52 -0500,HKCategoryValueSleepAnalysisInBed,Clock,"<<HKDevice: 0x7463ba700>, name:iPhone, manufacturer:Apple Inc., model:iPhone, hardware:iPhone9,4, software:12.4, creation date:2019-08-02 17:28:18 +0000>"
2019-10-24 21:54:44 -0500,2019-10-24 21:56:52 -0500,HKCategoryValueSleepAnalysisInBed,Clock,"<<HKDevice: 0x7463ba700>, name:iPhone, manufacturer:Apple Inc., model:iPhone, hardware:iPhone9,4, software:12.4, creation date:2019-08-02 17:28:18 +0000>"
2019-10-24 22:04:20 -0500,2019-10-24 22:19:06 -0500,HKCategoryValueSleepAnalysisInBed,Clock,"<<HKDevice: 0x7463ba700>, name:iPhone, manufacturer:Apple Inc., model:iPhone, hardware:iPhone9,4, software:12.4, creation date:2019-08-02 17:28:18 +0000>"
2019-10-24 22:04:20 -0500,2019-10-24 22:19:06 -0500,HKCategoryValueSleepAnalysisInBed,Clock,"<<HKDevice: 0x7463ba700>, name:iPhone, manufacturer:Apple Inc., model:iPhone, hardware:iPhone9,4, software:12.4, creation date:2019-08-02 17:28:18 +0000>"
2019-10-29 00:10:00 -0500,2019-10-29 06:32:54 -0500,HKCategoryValueSleepAnalysisInBed,Clock,"<<HKDevice: 0x7463ba700>, name:iPhone, manufacturer:Apple Inc., model:iPhone, hardware:iPhone9,4, software:12.4, creation date:2019-08-02 17:28:18 +0000>"
2019-10-29 15:52:28 -0500,2019-10-29 16:20:15 -0500,HKCategoryValueSleepAnalysisInBed,Clock,"<<HKDevice: 0x7463ba700>, name:iPhone, manufacturer:Apple Inc., model:iPhone, hardware:iPhone9,4, software:12.4, creation date:2019-08-02 17:28:18 +0000>"
2019-10-29 22:27:56 -0500,2019-10-30 05:50:17 -0500,HKCategoryValueSleepAnalysisInBed,Clock,"<<HKDevice: 0x7463ba700>, name:iPhone, manufacturer:Apple Inc., model:iPhone, hardware:iPhone9,4, software:12.4, creation date:2019-08-02 17:28:18 +0000>"
