night,AsleepUnspecified,Awake,Core,Deep,InBed,REM,TotalSleepHours
2021-01-08,0.0,0.0,0.0,0.0,7.528333333333333,0.0,0.0
2021-01-10,0.0,0.0,0.0,0.0,7.8533333333333335,0.0,0.0
2021-01-12,0.0,0.0,0.0,0.0,14.191944444444445,0.0,0.0
2021-01-13,0.0,0.0,0.0,0.0,8.390555555555556,0.0,0.0
2021-01-14,0.0,0.0,0.0,0.0,8.492777777777778,0.0,0.0
2021-01-17,0.0,0.0,0.0,0.0,8.472222222222221,0.0,0.0
2021-01-19,0.0,0.0,0.0,0.0,7.687222222222222,0.0,0.0
2021-01-20,0.0,0.0,0.0,0.0,16.129444444444445,0.0,0.0
2021-01-21,0.0,0.0,0.0,0.0,7.9238888888888885,0.0,0.0
2021-01-24,0.0,0.0,0.0,0.0,8.259722222222223,0.0,0.0
2021-01-25,0.0,0.0,0.0,0.0,8.017222222222221,0.0,0.0
2021-01-26,0.0,0.0,0.0,0.0,8.179444444444444,0.0,0.0
2021-01-27,0.0,0.0,0.0,0.0,8.303888888888888,0.0,0.0
2021-01-28,0.0,0.0,0.0,0.0,7.8805555555555555,0.0,0.0
2021-01-31,0.0,0.0,0.0,0.0,8.100555555555555,0.0,0.0
2021-02-02,0.0,0.0,0.0,0.0,15.88111111111111,0.0,0.0
2021-02-03,0.0,0.0,0.0,0.0,8.140555555555556,0.0,0.0
2021-02-05,0.0,0.0,0.0,0.0,7.786388888888889,0.0,0.0
2021-02-07,0.0,0.0,0.0,0.0,8.5,0.0,0.0
2021-02-08,0.0,0.0,0.0,0.0,8.226944444444445,0.0,0.0
2021-02-09,0.0,0.0,0.0,0.0,8.313055555555556,0.0,0.0
2021-02-10,0.0,0.0,0.0,0.0,8.491666666666667,0.0,0.0
2021-02-11,0.0,0.0,0.0,0.0,8.44111111111111,0.0,0.0
2021-02-14,0.0,0.0,0.0,0.0,8.178333333333333,0.0,0.0
2021-02-15,0.0,0.0,0.0,0.0,8.203333333333333,0.0,0.0
2021-02-16,0.0,0.0,0.0,0.0,8.387777777777778,0.0,0.0
2021-02-17,0.0,0.0,0.0,0.0,8.241944444444444,0.0,0.0
2021-02-18,0.0,0.0,0.0,0.0,8.0625,0.0,0.0
2021-02-21,0.0,0.0,0.0,0.0,8.476666666666667,0.0,0.0
2021-02-22,0.0,0.0,0.0,0.0,8.196388888888889,0.0,0.0
2021-02-23,0.0,0.0,0.0,0.0,8.3025,0.0,0.0
2021-02-24,0.0,0.0,0.0,0.0,8.414166666666667,0.0,0.0
2021-02-25,0.0,0.0,0.0,0.0,8.099444444444444,0.0,0.0
2021-02-28,0.0,0.0,0.0,0.0,8.5,0.0,0.0
2021-03-01,0.0,0.0,0.0,0.0,8.336944444444445,0.0,0.0
2021-03-02,0.0,0.0,0.0,0.0,8.069722222222222,0.0,0.0
2021-03-03,0.0,0.0,0.0,0.0,8.092777777777778,0.0,0.0
2021-03-04,0.0,0.0,0.0,0.0,8.234722222222222,0.0,0.0
2021-03-07,0.0,0.0,0.0,0.0,8.5,0.0,0.0
2021-03-08,0.0,0.0,0.0,0.0,8.266388888888889,0.0,0.0
2021-03-09,0.0,0.0,0.0,0.0,8.149166666666666,0.0,0.0
2021-03-10,0.0,0.0,0.0,0.0,8.331666666666667,0.0,0.0
2021-03-11,0.0,0.0,0.0,0.0,7.257777777777778,0.0,0.0
2021-03-12,0.0,0.0,0.0,0.0,0.46777777777777774,0.0,0.0
2021-03-14,0.0,0.0,0.0,0.0,8.080277777777777,0.0,0.0
2021-03-15,0.0,0.0,0.0,0.0,8.5,0.0,0.0
2021-03-16,0.0,0.0,0.0,0.0,8.301111111111112,0.0,0.0
2021-03-17,0.0,0.0,0.0,0.0,8.296666666666667,0.0,0.0
2021-03-18,0.0,0.0,0.0,0.0,8.155277777777778,0.0,0.0
2021-03-21,0.0,0.0,0.0,0.0,8.428055555555556,0.0,0.0
2021-03-22,0.0,0.0,0.0,0.0,6.1725,0.0,0.0
2021-03-23,0.0,0.0,0.0,0.0,10.299722222222224,0.0,0.0
2021-03-24,0.0,0.0,0.0,0.0,7.966388888888889,0.0,0.0
2021-03-25,0.0,0.0,0.0,0.0,8.321944444444444,0.0,0.0
2021-03-28,0.0,0.0,0.0,0.0,8.5,0.0,0.0
2021-03-29,0.0,0.0,0.0,0.0,8.266111111111112,0.0,0.0
2021-03-30,0.0,0.0,0.0,0.0,8.398333333333333,0.0,0.0
2021-03-31,0.0,0.0,0.0,0.0,8.263333333333334,0.0,0.0
2021-04-01,0.0,0.0,0.0,0.0,8.073611111111111,0.0,0.0
2021-04-04,0.0,0.0,0.0,0.0,8.5,0.0,0.0
2021-04-05,0.0,0.0,0.0,0.0,6.979166666666667,0.0,0.0
2021-04-06,0.0,0.0,0.0,0.0,9.09,0.0,0.0
2021-04-07,0.0,0.0,0.0,0.0,7.041944444444445,0.0,0.0
2021-04-08,0.0,0.0,0.0,0.0,6.970277777777778,0.0,0.0
2021-04-09,0.0,0.0,0.0,0.0,1.8016666666666667,0.0,0.0
2021-04-11,0.0,0.0,0.0,0.0,7.080277777777778,0.0,0.0
2021-04-12,0.0,0.0,0.0,0.0,8.078888888888889,0.0,0.0
2021-04-13,0.0,0.0,0.0,0.0,7.8775,0.0,0.0
2021-04-14,0.0,0.0,0.0,0.0,8.238611111111112,0.0,0.0
2021-04-15,0.0,0.0,0.0,0.0,8.113888888888889,0.0,0.0
2021-04-18,0.0,0.0,0.0,0.0,8.349444444444444,0.0,0.0
2021-04-19,0.0,0.0,0.0,0.0,8.220555555555556,0.0,0.0
2021-04-20,0.0,0.0,0.0,0.0,7.9191666666666665,0.0,0.0
2021-04-21,0.0,0.0,0.0,0.0,8.151111111111112,0.0,0.0
2021-04-22,0.0,0.0,0.0,0.0,7.837777777777778,0.0,0.0
2021-04-25,0.0,0.0,0.0,0.0,7.698055555555555,0.0,0.0
2021-04-26,0.0,0.0,0.0,0.0,7.939722222222223,0.0,0.0
2021-04-27,0.0,0.0,0.0,0.0,8.432222222222222,0.0,0.0
2021-04-28,0.0,0.0,0.0,0.0,8.435,0.0,0.0
2021-04-29,0.0,0.0,0.0,0.0,8.029722222222222,0.0,0.0
2021-05-02,0.0,0.0,0.0,0.0,8.078333333333333,0.0,0.0
2021-05-03,0.0,0.0,0.0,0.0,8.33,0.0,0.0
2021-05-04,0.0,0.0,0.0,0.0,7.688888888888889,0.0,0.0
2021-05-05,0.0,0.0,0.0,0.0,8.056944444444444,0.0,0.0
2021-05-06,0.0,0.0,0.0,0.0,7.311944444444444,0.0,0.0
2021-05-07,0.0,0.0,0.0,0.0,1.0472222222222223,0.0,0.0
2021-05-09,0.0,0.0,0.0,0.0,7.951388888888889,0.0,0.0
2021-05-10,0.0,0.0,0.0,0.0,6.259444444444444,0.0,0.0
2021-05-11,0.0,0.0,0.0,0.0,9.600277777777778,0.0,0.0
2021-05-12,0.0,0.0,0.0,0.0,8.073055555555555,0.0,0.0
2021-05-13,0.0,0.0,0.0,0.0,7.192777777777778,0.0,0.0
2021-05-14,0.0,0.0,0.0,0.0,0.86,0.0,0.0
2021-05-16,0.0,0.0,0.0,0.0,8.082777777777778,0.0,0.0
2021-05-17,0.0,0.0,0.0,0.0,7.785,0.0,0.0
2021-05-18,0.0,0.0,0.0,0.0,7.905,0.0,0.0
2021-05-19,0.0,0.0,0.0,0.0,8.19,0.0,0.0
2021-05-20,0.0,0.0,0.0,0.0,7.506388888888889,0.0,0.0
2021-05-21,0.0,0.0,0.0,0.0,0.01138888888888889,0.0,0.0
2021-05-23,0.0,0.0,0.0,0.0,5.1658333333333335,0.0,0.0
2021-05-24,0.0,0.0,0.0,0.0,11.093611111111112,0.0,0.0
2021-05-25,0.0,0.0,0.0,0.0,8.19361111111111,0.0,0.0
2021-05-26,0.0,0.0,0.0,0.0,7.038055555555555,0.0,0.0
2021-05-27,0.0,0.0,0.0,0.0,8.609722222222222,0.0,0.0
2021-05-30,0.0,0.0,0.0,0.0,8.237777777777778,0.0,0.0
2021-05-31,0.0,0.0,0.0,0.0,7.390555555555556,0.0,0.0
2021-06-01,0.0,0.0,0.0,0.0,8.30638888888889,0.0,0.0
2021-06-02,0.0,0.0,0.0,0.0,7.915,0.0,0.0
2021-06-03,0.0,0.0,0.0,0.0,8.063611111111111,0.0,0.0
2021-06-04,0.0,0.0,0.0,0.0,0.21055555555555555,0.0,0.0
2021-06-06,0.0,0.0,0.0,0.0,7.42,0.0,0.0
2021-06-07,0.0,0.0,0.0,0.0,0.05444444444444444,0.0,0.0
2021-06-08,0.0,0.0,0.0,0.0,12.390277777777778,0.0,0.0
2021-06-09,0.0,0.0,0.0,0.0,9.685555555555556,0.0,0.0
2021-06-10,0.0,0.0,0.0,0.0,7.2375,0.0,0.0
2021-06-13,0.0,0.0,0.0,0.0,7.384722222222222,0.0,0.0
2021-06-14,0.0,0.0,0.0,0.0,7.148611111111111,0.0,0.0
2021-06-15,0.0,0.0,0.0,0.0,4.135555555555555,0.0,0.0
2021-06-16,0.0,0.0,0.0,0.0,10.12138888888889,0.0,0.0
2021-06-17,0.0,0.0,0.0,0.0,7.724444444444444,0.0,0.0
2021-06-18,0.0,0.0,0.0,0.0,1.4425000000000001,0.0,0.0
2021-06-20,0.0,0.0,0.0,0.0,5.385833333333333,0.0,0.0
2021-06-21,0.0,0.0,0.0,0.0,2.3008333333333333,0.0,0.0
2021-06-22,0.0,0.0,0.0,0.0,3.664722222222222,0.0,0.0
2021-06-23,0.0,0.0,0.0,0.0,5.145833333333334,0.0,0.0
2021-06-24,0.0,0.0,0.0,0.0,9.777777777777779,0.0,0.0
2021-06-25,0.0,0.0,0.0,0.0,4.438611111111111,0.0,0.0
2021-06-27,0.0,0.0,0.0,0.0,6.749444444444444,0.0,0.0
2021-06-28,0.0,0.0,0.0,0.0,0.04472222222222222,0.0,0.0
2021-06-29,0.0,0.0,0.0,0.0,13.037777777777778,0.0,0.0
2021-06-30,0.0,0.0,0.0,0.0,0.3080555555555556,0.0,0.0
2021-07-01,0.0,0.0,0.0,0.0,7.773888888888889,0.0,0.0
2021-07-02,0.0,0.0,0.0,0.0,0.6397222222222222,0.0,0.0
2021-07-04,0.0,0.0,0.0,0.0,7.2683333333333335,0.0,0.0
2021-07-05,0.0,0.0,0.0,0.0,8.778333333333334,0.0,0.0
2021-07-06,0.0,0.0,0.0,0.0,3.3927777777777774,0.0,0.0
2021-07-07,0.0,0.0,0.0,0.0,10.376944444444444,0.0,0.0
2021-07-08,0.0,0.0,0.0,0.0,8.567222222222222,0.0,0.0
2021-07-09,0.0,0.0,0.0,0.0,0.08194444444444444,0.0,0.0
2021-07-11,0.0,0.0,0.0,0.0,5.899444444444445,0.0,0.0
2021-07-12,0.0,0.0,0.0,0.0,8.99,0.0,0.0
2021-07-14,0.0,0.0,0.0,0.0,10.985277777777778,0.0,0.0
2021-07-15,0.0,0.0,0.0,0.0,8.006666666666666,0.0,0.0
2021-07-16,0.0,0.0,0.0,0.0,0.0077777777777777776,0.0,0.0
2021-07-18,0.0,0.0,0.0,0.0,8.159444444444444,0.0,0.0
2021-07-20,0.0,0.0,0.0,0.0,14.262777777777778,0.0,0.0
2021-07-21,0.0,0.0,0.0,0.0,8.107222222222223,0.0,0.0
2021-07-22,0.0,0.0,0.0,0.0,7.560277777777777,0.0,0.0
2021-07-25,0.0,0.0,0.0,0.0,7.364722222222222,0.0,0.0
2021-07-26,0.0,0.0,0.0,0.0,7.028333333333333,0.0,0.0
2021-07-27,0.0,0.0,0.0,0.0,7.485555555555556,0.0,0.0
2021-07-28,0.0,0.0,0.0,0.0,7.866666666666666,0.0,0.0
2021-07-29,0.0,0.0,0.0,0.0,7.6338888888888885,0.0,0.0
2021-08-01,0.0,0.0,0.0,0.0,6.994166666666667,0.0,0.0
2021-08-02,0.0,0.0,0.0,0.0,7.428888888888889,0.0,0.0
2021-08-04,0.0,0.0,0.0,0.0,13.410833333333333,0.0,0.0
2021-08-06,0.0,0.0,0.0,0.0,6.210555555555556,0.0,0.0
2021-08-09,0.0,0.0,0.0,0.0,14.281388888888888,0.0,0.0
2021-08-10,0.0,0.0,0.0,0.0,7.511388888888889,0.0,0.0
2021-08-11,0.0,0.0,0.0,0.0,7.013333333333334,0.0,0.0
2021-08-12,0.0,0.0,0.0,0.0,8.256666666666666,0.0,0.0
2021-08-15,0.0,0.0,0.0,0.0,7.865833333333334,0.0,0.0
2021-08-16,0.0,0.0,0.0,0.0,7.535,0.0,0.0
2021-08-18,0.0,0.0,0.0,0.0,14.972222222222223,0.0,0.0
2021-08-20,0.0,0.0,0.0,0.0,6.013055555555555,0.0,0.0
2021-08-23,0.0,0.0,0.0,0.0,5.379166666666666,0.0,0.0
2021-08-24,0.0,0.0,0.0,0.0,3.1302777777777777,0.0,0.0
2021-08-25,0.0,0.0,0.0,0.0,13.863611111111112,0.0,0.0
2021-08-27,0.0,0.0,0.0,0.0,6.454722222222222,0.0,0.0
2021-08-29,0.0,0.0,0.0,0.0,7.484444444444445,0.0,0.0
2021-08-30,0.0,0.0,0.0,0.0,7.476388888888889,0.0,0.0
2021-09-01,0.0,0.0,0.0,0.0,5.024166666666667,0.0,0.0
2021-09-02,0.0,0.0,0.0,0.0,14.328055555555554,0.0,0.0
2021-09-06,0.0,0.0,0.0,0.0,6.213611111111111,0.0,0.0
2021-09-07,0.0,0.0,0.0,0.0,5.431111111111111,0.0,0.0
2021-09-08,0.0,0.0,0.0,0.0,5.656944444444445,0.0,0.0
2021-09-09,0.0,0.0,0.0,0.0,6.898888888888889,0.0,0.0
2021-09-10,0.0,0.0,0.0,0.0,0.6469444444444444,0.0,0.0
2021-09-13,0.0,0.0,0.0,0.0,6.982777777777778,0.0,0.0
2021-09-14,0.0,0.0,0.0,0.0,0.6591666666666667,0.0,0.0
2021-09-15,0.0,0.0,0.0,0.0,0.04777777777777778,0.0,0.0
2021-09-16,0.0,0.0,0.0,0.0,7.351111111111111,0.0,0.0
2021-09-17,0.0,0.0,0.0,0.0,0.5969444444444444,0.0,0.0
2021-09-19,0.0,0.0,0.0,0.0,6.6177777777777775,0.0,0.0
2021-09-20,0.0,0.0,0.0,0.0,0.5294444444444444,0.0,0.0
2021-09-21,0.0,0.0,0.0,0.0,7.443611111111111,0.0,0.0
2021-09-22,0.0,0.0,0.0,0.0,7.6402777777777775,0.0,0.0
2021-09-23,0.0,0.0,0.0,0.0,0.5258333333333334,0.0,0.0
2021-09-24,0.0,0.0,0.0,0.0,0.09416666666666666,0.0,0.0
2021-09-27,0.0,0.0,0.0,0.0,0.029444444444444443,0.0,0.0
2021-09-28,0.0,0.0,0.0,0.0,7.646944444444445,0.0,0.0
2021-09-29,0.0,0.0,0.0,0.0,7.363888888888889,0.0,0.0
2021-09-30,0.0,0.0,0.0,0.0,0.5794444444444444,0.0,0.0
2021-10-01,0.0,0.0,0.0,0.0,0.08944444444444444,0.0,0.0
2021-10-04,0.0,0.0,0.0,0.0,0.020833333333333332,0.0,0.0
2021-10-05,0.0,0.0,0.0,0.0,0.059166666666666666,0.0,0.0
2021-10-06,0.0,0.0,0.0,0.0,0.13833333333333334,0.0,0.0
2021-10-07,0.0,0.0,0.0,0.0,0.23472222222222222,0.0,0.0
2021-10-08,0.0,0.0,0.0,0.0,0.10166666666666667,0.0,0.0
2021-10-10,0.0,0.0,0.0,0.0,7.2780555555555555,0.0,0.0
2021-10-11,0.0,0.0,0.0,0.0,0.07138888888888889,0.0,0.0
2021-10-12,0.0,0.0,0.0,0.0,0.041666666666666664,0.0,0.0
2021-10-13,0.0,0.0,0.0,0.0,0.03111111111111111,0.0,0.0
2021-10-14,0.0,0.0,0.0,0.0,0.01888888888888889,0.0,0.0
2021-10-15,0.0,0.0,0.0,0.0,0.0002777777777777778,0.0,0.0
2021-10-18,0.0,0.0,0.0,0.0,0.08194444444444444,0.0,0.0
